name,min,max,color
Autres,3.33510502,3.66982598,orange
Bac FR,3.354650204,3.590418996,orange
Certificat d'acces etranger,4.204266408,4.436527192,orange
Maturite de la Commission suisse,3.518823836,3.826753164,orange
Biologie et chimie,3.628033588,3.962957212,orange
Economie et droit,4.065899,4.065899,orange
Langue moderne,3.564978304,3.938250896,orange
Philosophie,3.240048364,3.859179436,orange
Physique et application des maths,4.3212745,4.5641577,orange
Maturite professionnelle,3.558601232,4.163920968,orange
Matu privee,4.366471204,4.539637596,orange
