name,min,max,color
M-DER,4.565714372,4.754332228,orange
M-DGF,4.433275956,4.873693444,orange
MDE,4.07157952,4.46449288,orange
MScACF,4.5453302,4.6688494,orange
MScAS,4.528785172,4.673479428,orange
MScE 2,4.755288196,4.940743004,orange
MScF 2,4.61631066,4.79520574,orange
MScIS,4.43899086,4.62188434,orange
MScM 2 M-,4.481973,4.481973,red
