"","est1",""
"","b","se"
"F","0","."
"M","-.0495766",".0215408"
"M-DER",".1780503",".0481168"
"M-DGF",".1715117",".1123514"
"MDE","-.2139368",".100233"
"MScACF",".1251168",".03151"
"MScAS",".1191593",".0369118"
"MScE 2",".3660426",".0473099"
"MScF",".23133",".0305938"
"MScF 2",".2237852",".0456365"
"MScIS",".0484646",".0466565"
"MScM 2 M+",".0106459",".0319142"
"MScM 2 M-","0","."
"Constant","4.481973",".0205254"
"Observations","1083",""
