"","est1",""
"","b","se"
"F","0","."
"M",".0064101",".0192571"
"0","-.0186654",".0369759"
"France","-.0305454",".0283811"
"Luxembourg","-.0170556",".0558074"
"Maroc","-.1410212",".0950509"
"Suisse","0","."
"Debut=2006","-.1174844",".0278933"
"Debut=2007",".0146902",".0291981"
"Debut=2008",".0185888",".0289808"
"Debut=2009","-.00869",".0300855"
"Debut=2010","0","."
"Debut=2011",".0755779",".0298983"
"Constant","4.580795",".0238881"
"Observations","1451",""
